Link,Speakers,City,Category,Trim,Gender
https://www.youtube.com/watch?v=cxrYZLp079c,1,Baia Mare,Studio,2:16-7:48,M
https://www.youtube.com/watch?v=BrqhuTzDAWk,1,Baia Mare,Studio,0:00-9:29,M
https://www.youtube.com/watch?v=QdTq_R1up8e,1,Baia Mare,Studio,5:55-13:04,M
https://www.youtube.com/watch?v=yMNojwI9qCM,1,Baia Mare,Studio,9:15-13:20,F
https://www.youtube.com/watch?v=MeWnuNtbg0g,1,Baia Mare,Studio,2:23-10:00,M
https://www.youtube.com/watch?v=ZkWgk05ZNZs,1,Baia Mare,Studio,1:45-7:55,F
https://www.youtube.com/watch?v=UYFQcvk7Lt0,1,Baia Mare,Studio,0:00-10:08,F
https://www.youtube.com/watch?v=O2zu3OxFqR8,1,Baia Mare,Studio,18:05-22:25,M
https://www.youtube.com/watch?v=rNlA--EuG-Y,1,Satu Mare,Studio,1:50-6:30,M
https://www.youtube.com/watch?v=CGO-xCSmciU,1,Satu Mare,Studio,0:00-4:03,M
https://www.youtube.com/watch?v=XrKgabRcDH4,1,Satu Mare,Studio,23:12-30:05,M
https://www.youtube.com/watch?v=OiW2QqVrSK8,1,Satu Mare,Studio,0:46-5:47,M
https://www.youtube.com/watch?v=7CAWDWMnqfQ,1,Satu Mare,Studio,1:14-6:53,F
https://www.youtube.com/watch?v=VZPYOn-KYKk,1,Satu Mare,Studio,10:27-13:14,M
https://www.youtube.com/watch?v=KX1gzo32ChU,1,Satu Mare,Studio,3:54-6:49,M
https://www.youtube.com/watch?v=ogkormSOuMI,1,Satu Mare,Studio,,M
https://www.youtube.com/watch?v=Ae_DVgq94iA,1,Satu Mare,Studio,0:00-6:00,M
https://www.youtube.com/watch?v=6ZMbTa975KM,1,Satu Mare,Studio,1:09-5:50,M
https://www.youtube.com/watch?v=5LliDRFbBOk,1,Baia Mare,ITW,,M
https://www.youtube.com/watch?v=fnxC5E_l9OU,1,Baia Mare,ITW,0:00-8:58,M
https://www.youtube.com/watch?v=PspxrrWCJPY,1,Baia Mare,ITW,,M
https://www.youtube.com/watch?v=sEbUYUAsuag,1,Baia Mare,ITW,,M
https://www.youtube.com/watch?v=s28vAJiSFUI,1,Baia Mare,ITW,,M
https://www.youtube.com/watch?v=PsnpON8qAuo,1,Baia Mare,ITW,4:03-7:40,M
https://www.youtube.com/watch?v=-Whhys-_3qE,1,Baia Mare,ITW,,M
https://www.youtube.com/watch?v=iZhuatRoCGY,1,Satu Mare,ITW,,M
https://www.youtube.com/watch?v=tAEC4uIc3p0,1,Satu Mare,ITW,,M
https://www.youtube.com/watch?v=qE95s74bb5o,1,Satu Mare,ITW,,M
https://www.youtube.com/watch?v=NUkrggK2v9s,1,Satu Mare,ITW,0:00-4:17,M
https://www.youtube.com/watch?v=JazkwF_o6qE,1,Satu Mare,ITW,,M
